FIPS,State,County_Name,Population_2010,RUCC_2013,Description
29001,MO,Adair County,"25,607",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29003,MO,Andrew County,"17,291",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29005,MO,Atchison County,"5,685",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29007,MO,Audrain County,"25,529",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29009,MO,Barry County,"35,597",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29011,MO,Barton County,"12,402",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29013,MO,Bates County,"17,049",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29015,MO,Benton County,"19,056",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29017,MO,Bollinger County,"12,363",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29019,MO,Boone County,"162,642",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29021,MO,Buchanan County,"89,201",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29023,MO,Butler County,"42,794",5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
29025,MO,Caldwell County,"9,424",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29027,MO,Callaway County,"44,332",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29029,MO,Camden County,"44,002",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29031,MO,Cape Girardeau County,"75,674",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29033,MO,Carroll County,"9,295",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29035,MO,Carter County,"6,265",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29037,MO,Cass County,"99,478",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29039,MO,Cedar County,"13,982",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29041,MO,Chariton County,"7,831",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29043,MO,Christian County,"77,422",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
29045,MO,Clark County,"7,139",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29047,MO,Clay County,"221,939",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29049,MO,Clinton County,"20,743",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29051,MO,Cole County,"75,990",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29053,MO,Cooper County,"17,601",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29055,MO,Crawford County,"24,696",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29057,MO,Dade County,"7,883",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
29059,MO,Dallas County,"16,777",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
29061,MO,Daviess County,"8,433",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
29063,MO,DeKalb County,"12,892",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29065,MO,Dent County,"15,657",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29067,MO,Douglas County,"13,684",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29069,MO,Dunklin County,"31,953",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29071,MO,Franklin County,"101,492",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29073,MO,Gasconade County,"15,222",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29075,MO,Gentry County,"6,738",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
29077,MO,Greene County,"275,174",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
29079,MO,Grundy County,"10,261",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29081,MO,Harrison County,"8,957",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29083,MO,Henry County,"22,272",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29085,MO,Hickory County,"9,627",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
29087,MO,Holt County,"4,912",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
29089,MO,Howard County,"10,144",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29091,MO,Howell County,"40,400",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29093,MO,Iron County,"10,630",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29095,MO,Jackson County,"674,158",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29097,MO,Jasper County,"117,404",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29099,MO,Jefferson County,"218,733",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29101,MO,Johnson County,"52,595",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
29103,MO,Knox County,"4,131",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29105,MO,Laclede County,"35,571",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29107,MO,Lafayette County,"33,381",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29109,MO,Lawrence County,"38,634",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29111,MO,Lewis County,"10,211",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29113,MO,Lincoln County,"52,566",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29115,MO,Linn County,"12,761",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29117,MO,Livingston County,"15,195",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29119,MO,McDonald County,"23,083",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
29121,MO,Macon County,"15,566",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29123,MO,Madison County,"12,226",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29125,MO,Maries County,"9,176",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
29127,MO,Marion County,"28,781",5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
29129,MO,Mercer County,"3,785",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29131,MO,Miller County,"24,748",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29133,MO,Mississippi County,"14,358",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29135,MO,Moniteau County,"15,607",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29137,MO,Monroe County,"8,840",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29139,MO,Montgomery County,"12,236",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29141,MO,Morgan County,"20,565",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
29143,MO,New Madrid County,"18,956",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29145,MO,Newton County,"58,114",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29147,MO,Nodaway County,"23,370",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29149,MO,Oregon County,"10,881",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29151,MO,Osage County,"13,878",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29153,MO,Ozark County,"9,723",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29155,MO,Pemiscot County,"18,296",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29157,MO,Perry County,"18,971",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29159,MO,Pettis County,"42,201",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
29161,MO,Phelps County,"45,156",5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
29163,MO,Pike County,"18,516",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29165,MO,Platte County,"89,322",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29167,MO,Polk County,"31,137",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
29169,MO,Pulaski County,"52,274",5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
29171,MO,Putnam County,"4,979",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29173,MO,Ralls County,"10,167",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29175,MO,Randolph County,"25,414",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29177,MO,Ray County,"23,494",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29179,MO,Reynolds County,"6,696",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29181,MO,Ripley County,"14,100",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29183,MO,St. Charles County,"360,485",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29185,MO,St. Clair County,"9,805",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
29186,MO,Ste. Genevieve County,"18,145",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29187,MO,St. Francois County,"65,359",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
29189,MO,St. Louis County,"998,954",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29195,MO,Saline County,"23,370",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29197,MO,Schuyler County,"4,431",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29199,MO,Scotland County,"4,843",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29201,MO,Scott County,"39,191",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
29203,MO,Shannon County,"8,441",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29205,MO,Shelby County,"6,373",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29207,MO,Stoddard County,"29,968",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29209,MO,Stone County,"32,202",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29211,MO,Sullivan County,"6,714",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29213,MO,Taney County,"51,675",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
29215,MO,Texas County,"26,008",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29217,MO,Vernon County,"21,159",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29219,MO,Warren County,"32,513",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29221,MO,Washington County,"25,195",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29223,MO,Wayne County,"13,521",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29225,MO,Webster County,"36,202",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
29227,MO,Worth County,"2,171",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29229,MO,Wright County,"18,815",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29510,MO,St. Louis city,"319,294",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
